angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Bmag,Vmag,SpType,ASCC,Seq,Pkin,Pph,Psp
0.058306,307.7220843096082,41.1210858784047,0.001,0.001,0,2067802418292204672,307.72217534258,0.0191,41.12105954926,0.0228,4.5703,0.0247,15.928,0.04,-6.115,0.046,0,386417.0,79.6896,11.720724,202765.0,180.397,12.083906,262798.0,194.31,11.212864,0.871042,-25.08,0.96,9,5486.02,0.051,0.0247,0.96,0.748,307.722065,41.121093,307.72201779,41.12110374,12.241,11.599,,434596,490,0.0,0.1521,1
0.166941,307.7232808502711,41.39711357586,0.014,0.012,0,2067843551198241920,307.72327750692,0.3796,41.39713445102,0.4788,4.374,0.4777,-0.583,0.799,4.848,0.9,0,327359.0,76.182,11.900804,188412.0,234.012,12.163616,204356.0,168.176,11.485951,0.677665,,,0,6363.5,0.0323,0.016,0.67,0.663,307.723238,41.397147,307.72324703,41.39714199,12.364,12.052,,434597,490,0.1101,0.0105,1
0.029431,307.7243089204658,41.3464211385594,0.001,0.001,0,2067842864003459584,307.72431120528,0.0201,41.34639494689,0.0255,1.5004,0.0255,0.398,0.043,-6.083,0.048,0,726744.0,326.754,11.034912,469633.0,592.63,11.171991,381018.0,310.206,10.809557,0.362434,,,0,7762.5,0.764,0.3697,1.99,12.952,307.724303,41.346428,307.72430704,41.34644029,11.231,10.964,,434598,490,0.9647,0.0,1
0.200061,307.7508513714477,40.8304694981642,0.001,0.001,0,2067788713055642880,307.75082407214,0.0197,40.83044147772,0.0247,0.6116,0.0254,-4.798,0.04,-6.508,0.045,0,963193.0,264.797,10.729082,302288.0,280.201,11.650334,975347.0,774.401,9.789022,1.861312,,,0,4052.13,0.7455,0.3577,26.01,164.359,307.750837,40.830415,307.75086051,40.83043642,12.089,11.214,,434609,490,0.0,0.0,0
0.186625,307.7656256915607,41.4798613368932,0.001,0.001,0,2067846055159959296,307.7655098039,0.0212,41.47978203901,0.0265,2.6251,0.0283,-20.165,0.044,-18.418,0.048,0,239624.0,32.7652,12.239539,125057.0,152.861,12.608621,163344.0,113.8,11.729162,0.879458,,,0,5481.4,0.421,0.2,1.32,1.407,307.765665,41.479904,307.76571987,41.47994513,13.438,13.632,,434619,490,0.0001,0.0295,1
0.07342,307.767630416761,41.8147804443102,0.001,0.001,0,2068045826977564928,307.76764464292,0.0342,41.81477072318,0.0377,1.6941,0.0418,2.463,0.075,-2.258,0.079,0,786912.0,343.944,10.948551,523698.0,668.173,11.053686,392977.0,230.108,10.776004,0.277682,,,0,8120.0,0.5803,0.2877,,,307.767605,41.814788,307.76759888,41.81479023,11.21,10.937,,434621,490,0.0,0.0,0
0.012401,307.7787470457346,40.8580176472139,0.001,0.001,0,2067794657290378880,307.77878734994,0.022,40.85818868053,0.0252,4.4636,0.0274,7.08,0.045,39.724,0.046,0,25807300.0,3986.37,7.159008,11530300.0,16586.3,7.696789,19728200.0,51383.6,6.524203,1.172586,-23.04,0.15,12,4906.0,0.1605,0.088,10.52,57.719,307.778746,40.858021,307.77872273,40.85792229,8.447,7.431,K0III,434626,490,0.0,0.0,0
0.07218,307.7842328844153,41.5923762201197,0.001,0.001,90,2067847055891837952,307.78422665186,0.0243,41.59233458663,0.0266,1.1283,0.0301,-1.083,0.056,-9.67,0.051,0,918476.0,260.728,10.780696,344119.0,436.646,11.509616,819980.0,493.897,9.977412,1.532204,-13.22,1.06,4,4337.0,0.5973,0.289,11.1,39.288,307.784251,41.592391,307.78424133,41.5924169,12.79,11.23,,434627,490,0.0548,0.2675,1
0.036617,307.7939420737629,41.5315162294027,0.002,0.002,90,2067846574853004672,307.79392422714,0.0523,41.53149752974,0.0576,0.5487,0.0656,-3.103,0.116,-4.343,0.106,0,1253580.0,1116.71,10.442987,391077.0,1659.01,11.370731,1354220.0,6410.75,9.432699,1.938032,,,0,3844.25,,,39.33,304.39,307.793929,41.531519,307.79393463,41.53153065,12.481,11.364,,434633,490,0.9997,0.9902,1
0.316169,307.7954601296308,41.7878779040953,0.001,0.001,0,2068042734601107584,307.79547505841,0.0222,41.78794904866,0.026,3.9922,0.027,2.585,0.046,16.524,0.05,0,358442.0,62.0161,11.80232,188822.0,164.12,12.161259,242352.0,203.422,11.300804,0.860455,-25.71,0.8,2,5752.0,0.122,0.0558,0.95,0.89,307.795354,41.787916,307.79534868,41.78787053,12.471,12.232,,434634,490,0.0,0.0,0
