angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,SpType,Schulte,[MT91],ONames,AV,logL,logT,l_M1,M1,Age1,Umag,Bmag,Vmag,Jmag,Hmag,Kmag,SimbadName
0.509906,308.3251456485781,41.3601816863034,0.001,0.001,0,2067785208362826112,308.32512487042,0.0305,41.36016226415,0.0394,0.6075,0.0425,-3.622,0.068,-4.511,0.073,0,5.85852e+05,5.56139e+02,11.268895,1.66123e+05,3.72397e+02,12.300312,6.27681e+05,5.01555e+02,10.267573,2.032739,,,0,3919.50,1.3338,0.6842,22.78,110.298,308.3253333,41.3601667,20 33 18.08,+41 21 36.6,O8V,,485,,5.32,4.79,4.54,,21.8,2.4,13.9,13.57,12.06,8.744,8.315,8.113,[MT91] 485
0.821644,308.1452750372622,40.9381500636949,0.001,0.001,0,2067769609040987648,308.14525958352,0.0245,40.93812863336,0.0275,0.5510,0.0310,-2.711,0.047,-4.977,0.050,0,2.16046e+05,7.36390e+01,12.352001,4.63112e+04,1.21617e+02,13.687174,2.64697e+05,3.31446e+02,11.205048,2.482126,,,0,3522.75,2.1605,1.0350,21.71,65.412,308.145,40.9380556,20 32 34.80,+40 56 17.0,O8V,,,A38,6.31,4.64,4.54,,20.3,0.41,16.26,15.24,13.72,9.41,8.86,8.564,[CPR2002] A38
0.208878,308.5913842396558,41.2837942104542,0.002,0.002,90,2067862414694092544,308.59137253503,0.0463,41.28377471668,0.0492,0.6059,0.0592,-2.043,0.109,-4.528,0.099,0,5.28622e+05,4.31654e+02,11.380503,1.21023e+05,2.99107e+02,12.644218,6.28730e+05,4.03043e+02,10.265760,2.378458,,,0,3809.08,1.7110,0.8410,23.84,107.808,308.5914583,41.2837778,20 34 21.95,+41 17 01.6,O8III+O8III,73,,,6.27,4.62,4.53,,19.6,1.36,,14.2,12.5,8.388,7.878,7.602,Schulte 73
0.418341,308.2621791785148,40.7903685440176,0.011,0.010,90,2067755379810392320,308.26218757449,0.3316,40.79034151747,0.3144,2.0509,0.3651,1.476,0.729,-6.277,0.638,0,8.72909e+05,9.43433e+02,10.835944,1.16506e+05,2.84714e+02,12.685518,1.20754e+06,2.00535e+03,9.557167,3.128351,144.38,14.19,8,3399.65,2.8142,1.4232,13.23,21.074,308.2620833,40.7902778,20 33 02.90,+40 47 25.0,O8II,,,A20,8.13,5.58,4.53,,35.0,5.72,16.43,15.12,,7.27,6.62,6.248,[CPR2002] A20
0.176943,308.2084006194425,41.3957455142382,0.001,0.001,0,2067832968398974208,308.20838216538,0.0260,41.39572363492,0.0341,0.6902,0.0373,-3.215,0.057,-5.082,0.061,0,7.97354e+05,4.03337e+02,10.934238,2.57337e+05,5.20151e+02,11.825133,8.02735e+05,7.66799e+02,10.000489,1.824644,,,0,3904.75,0.8280,0.4125,23.68,117.441,308.2084583,41.3957222,20 32 50.03,+41 23 44.6,O8.5V,17,339,,4.92,4.79,4.53,,21.2,3.67,13.15,12.95,11.6,8.579,8.188,7.982,Schulte 17
0.264802,308.3180689947214,41.3171893594951,0.001,0.001,0,2067785002204178688,308.31805358352,0.0244,41.31716952541,0.0326,0.6301,0.0318,-2.688,0.052,-4.607,0.059,0,5.85342e+05,3.30772e+02,11.269842,1.74490e+05,4.16858e+02,12.246964,6.13674e+05,9.99809e+02,10.292076,1.954887,,,0,3828.12,1.0537,0.5255,23.73,108.947,308.3181667,41.3171944,20 33 16.36,+41 19 01.9,O8.5V,8D,473,,5.13,4.69,4.53,,20.2,2.59,13.77,13.47,12.02,8.842,8.424,8.239,Schulte 8D
0.265895,308.3375686659064,41.2944776866989,0.001,0.001,0,2067784173274044928,308.33755385145,0.0206,41.29445814514,0.0276,0.5915,0.0279,-2.585,0.045,-4.539,0.050,0,3.31953e+05,8.89733e+01,11.885675,9.48191e+04,1.86431e+02,12.909149,3.58880e+05,3.29034e+02,10.874546,2.034603,,,0,3695.00,1.2625,0.6120,21.39,76.844,308.3376667,41.2944722,20 33 21.04,+41 17 40.1,O8.5V,,507,,5.41,4.53,4.53,,18.7,0.13,14.57,14.24,12.7,9.301,8.899,8.672,[MT91] 507
0.147247,307.9391685332487,41.3074198316111,0.002,0.002,90,2067828639068547200,307.93915208187,0.0578,41.30740169399,0.0596,0.4530,0.0729,-2.870,0.131,-4.213,0.113,0,6.51521e+05,9.55123e+02,11.153544,1.43242e+05,6.36522e+02,12.461209,8.19386e+05,3.29040e+03,9.978198,2.483011,,,0,3739.42,,,37.62,249.320,307.939125,41.3074444,20 31 45.39,+41 18 26.8,O8.5I,,138,,6.57,5.07,4.51,,23.6,6.11,14.91,14.25,12.26,8.065,7.552,7.259,[MT91] 138
0.217854,307.8263723136511,41.3560285666128,0.001,0.001,0,2067840149584105344,307.82635861061,0.0280,41.35601075692,0.0345,0.5979,0.0367,-2.389,0.060,-4.136,0.065,0,3.74349e+05,1.25918e+02,11.755176,7.45066e+04,2.25560e+02,13.170900,4.71619e+05,6.63054e+02,10.577941,2.592959,,,0,3660.00,2.3913,1.1760,23.19,86.934,307.8262917,41.3560278,20 31 18.31,+41 21 21.7,O9V+B6V,,70,,6.86,4.55,4.52,,18.4,1.97,15.88,15.09,12.99,8.607,8.046,7.746,[MT91] 070
0.815052,308.0690091515893,41.4265749682416,0.001,0.001,0,2067835614098871040,308.06899582471,0.0208,41.42655467940,0.0265,0.5786,0.0291,-2.321,0.044,-4.712,0.055,0,8.15283e+05,3.16873e+02,10.910094,2.83706e+05,4.88551e+02,11.719218,7.84876e+05,7.08378e+02,10.024917,1.694302,,,0,4150.73,0.7005,0.3483,23.39,146.314,308.068875,41.4267778,20 32 16.53,+41 25 36.4,O9V,14,227,,4.55,4.66,4.52,,19.1,3.61,12.84,12.71,11.47,8.714,8.389,8.185,Schulte 14
0.278858,308.2900196264903,41.2168356995009,0.001,0.001,0,2067781905528395776,308.29000324561,0.0252,41.21681573057,0.0364,0.6493,0.0358,-2.862,0.053,-4.638,0.059,0,3.24604e+05,1.58972e+02,11.909982,6.99922e+04,2.68906e+02,13.238765,3.99202e+05,9.30728e+02,10.758937,2.479828,,,0,3719.00,2.0308,0.9980,18.86,61.329,308.2899167,41.2168333,20 33 09.58,+41 13 00.6,O9V+B9V,,421,,6.77,4.26,4.52,,16.3,0.0,15.88,14.97,,8.655,8.135,7.764,[MT91] 421
0.344524,308.5396314072614,41.5704808866752,0.001,0.001,0,2067887802243913216,308.53961686655,0.0206,41.57046384182,0.0240,0.6166,0.0272,-2.527,0.043,-3.959,0.044,0,3.07157e+05,5.95225e+01,11.969963,8.80703e+04,2.29194e+02,12.989314,3.34142e+05,3.81783e+02,10.952092,2.037222,,,0,3809.97,1.4250,0.7145,17.84,60.441,308.5396667,41.5703889,20 34 09.52,+41 34 13.4,O9V,75,736,,5.43,4.5,4.52,,18.0,1.07,14.51,14.25,12.79,9.304,8.892,8.646,Schulte 75
0.487073,308.2893729732022,41.2162211178510,0.001,0.001,0,2067781909827930624,308.28935524557,0.0330,41.21620031048,0.0434,0.6742,0.0503,-3.097,0.068,-4.833,0.069,0,6.28254e+04,4.80024e+01,13.693028,1.36553e+04,1.29082e+02,15.013137,8.48318e+04,4.90751e+02,12.440523,2.572614,,,0,3770.14,2.6265,1.3335,7.64,10.625,308.2892083,41.2161667,20 33 09.41,+41 12 58.2,O9V,,420,,6.54,4.06,4.52,,15.2,0.0,17.79,16.81,14.85,10.678,10.65,9.855,[MT91] 420
0.303308,307.9569068941730,41.4740303079572,0.001,0.001,90,2067847502568383744,307.95688909863,0.0230,41.47401231958,0.0249,0.5949,0.0318,-3.097,0.051,-4.178,0.041,0,7.13054e+05,3.38655e+02,11.055559,2.73380e+05,4.30230e+02,11.759472,6.43066e+05,6.27394e+02,10.241282,1.518190,,,0,4442.62,0.3420,0.1590,17.26,104.599,307.956875,41.4741111,20 31 49.65,+41 28 26.8,O9III,20,145,,4.12,4.42,4.5,,16.8,1.46,12.67,12.63,11.52,9.074,8.768,8.634,Schulte 20
0.643949,308.4421239360730,41.5502663098804,0.013,0.012,90,2067928660269306496,308.44213092236,0.3925,41.55026001627,0.4050,0.5903,0.4498,1.214,0.858,-1.462,0.771,0,4.46795e+06,4.23534e+03,9.063095,1.22282e+06,3.67616e+03,10.132986,4.86712e+06,1.48412e+04,8.043739,2.089247,94.47,19.60,2,4128.46,,,,,308.4422917,41.5501389,20 33 46.15,+41 33 00.5,O9I,10,632,,5.66,5.68,4.5,,37.4,5.54,11.76,11.47,9.88,6.294,5.839,5.582,Schulte 10
