angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Sample,Name,SpType,Teff,LogL,AV,_RA,_DE
0.928413,309.0754962419485,42.4802664059428,0.001,0.001,0,2069484297422692864,309.07548177293,0.0307,42.48025144198,0.0353,0.5706,0.0423,-2.478,0.065,-3.476,0.072,0,1.04312e+05,2.72284e+01,13.142528,1.89997e+04,9.14100e+01,14.654521,1.37071e+05,3.47307e+02,11.919559,2.734963,,,0,4042.77,2.5710,1.2897,9.24,20.567,309.07525,42.4800833,Surroundings,J20361806+4228483,B0.7III,22860,4.14,7.2,309.07525,42.48008
0.052110,305.9090120449698,39.6366222124031,0.001,0.001,0,2067437109854495872,305.90899354980,0.0197,39.63659920197,0.0255,0.5862,0.0263,-3.308,0.044,-5.344,0.045,0,1.29185e+06,3.01972e+02,10.410337,6.00863e+05,4.87805e+02,10.904450,9.96905e+05,6.42827e+02,9.765286,1.139165,,,0,4987.85,,,17.17,164.361,305.909,39.6366111,Surroundings,J20233816+3938118,B0.7Ib,21514,3.87,2.3,305.909,39.63661
0.094254,305.0306322639019,41.1296424633678,0.001,0.001,0,2068364857148962304,305.03061891510,0.0208,41.12961848205,0.0233,1.0616,0.0266,-2.335,0.047,-5.570,0.049,0,3.61641e+06,1.44053e+03,9.292672,1.65633e+06,2.44856e+03,9.803518,2.79061e+06,5.33273e+03,8.647672,1.155847,,,0,4932.00,,,16.33,142.099,305.0306667,41.1296389,Surroundings,HD 228973,B1V,23590,4.45,2.4,305.03067,41.12964
0.062763,305.0597797951256,41.1209572493214,0.008,0.008,0,2068364616630781312,305.05977574039,0.2354,41.12093242814,0.2533,1.4424,0.2796,-0.709,0.487,-5.765,0.490,1,1.05825e+06,3.00040e+02,10.626892,3.61357e+05,3.76494e+02,11.456548,1.01468e+06,8.12135e+02,9.746099,1.710449,,,0,4334.72,0.9840,0.4825,9.34,27.728,305.0597917,41.1209722,Surroundings,J20201435+4107155,B1V,23590,4.27,3.4,305.05979,41.12097
0.016558,305.7620894422147,41.5629445807691,0.001,0.001,90,2068449966220070784,305.76207323169,0.0317,41.56292182186,0.0381,0.5427,0.0432,-2.817,0.067,-5.286,0.066,0,3.19349e+05,1.90649e+02,11.927702,6.36208e+04,2.06613e+02,13.342390,4.05168e+05,7.60297e+02,10.742832,2.599558,,,0,3534.26,1.9675,1.0007,26.51,98.768,305.7620833,41.5629444,Surroundings,J20230290+4133466,B1V,23590,4.68,7.2,305.76208,41.56294
0.019700,308.2688804757642,38.3741355063337,0.001,0.001,0,2063986803706515712,308.26886308096,0.0189,38.37411995693,0.0229,0.7307,0.0249,-3.167,0.040,-3.611,0.046,0,1.28965e+06,5.91022e+02,10.412190,6.07150e+05,5.08677e+02,10.893147,9.78238e+05,1.87672e+03,9.785809,1.107339,,,0,4993.32,,,13.72,105.495,308.268875,38.3741389,Surroundings,J20330453+3822269,B1V,23590,4.09,2.4,308.26887,38.37414
0.021761,305.7576329103621,40.2341386357012,0.001,0.001,0,2067516343412183424,305.75761529622,0.0250,40.23411310248,0.0294,0.5703,0.0285,-3.123,0.052,-5.930,0.055,0,9.78135e+05,3.77651e+02,10.712369,3.08462e+05,4.23319e+02,11.628384,9.80667e+05,7.97127e+02,9.783116,1.845267,,,0,4195.33,0.6920,0.3250,25.13,176.222,305.757625,40.2341389,Surroundings,J20230183+4014029,B1III,21557,4.26,4.3,305.75762,40.23414
0.021363,309.6203750669106,40.1657281338426,0.001,0.001,90,2064568655813359616,309.62036499878,0.0175,40.16571662524,0.0203,0.8995,0.0233,-1.787,0.038,-2.673,0.036,0,2.80701e+06,7.98628e+02,9.567758,1.67803e+06,1.65794e+03,9.789391,1.62989e+06,1.91711e+03,9.231526,0.557864,,,0,6653.10,,,8.72,134.177,309.620375,40.1657222,Surroundings,J20382889+4009566,B1III,21557,3.84,1.4,309.62037,40.16572
0.072489,311.0313088087545,41.1261586308992,0.001,0.001,0,2066086497257081088,311.03129064589,0.0312,41.12613898738,0.0377,0.3520,0.0396,-3.178,0.067,-4.562,0.070,0,1.40429e+05,4.29150e+01,12.819720,2.61400e+04,7.33100e+01,14.308123,1.81023e+05,3.28137e+02,11.617586,2.690537,,,0,3685.78,2.0680,1.0435,23.57,92.380,311.0313333,41.1261667,Surroundings,J20440752+4107342,B1III,21557,4.09,6.5,311.03133,41.12617
0.102072,308.3980091675218,38.0268614816800,0.001,0.001,0,2063836827748790400,308.39799301213,0.0209,38.02683811299,0.0256,0.5277,0.0306,-2.956,0.047,-5.428,0.050,0,3.05585e+06,2.11614e+04,9.475537,7.51101e+05,1.34485e+04,10.662143,3.56865e+06,8.10825e+04,8.380661,2.281482,,,0,3632.37,0.9250,0.4613,76.98,929.319,308.398,38.0268889,Surroundings,LSII+3797,B1Ia,19979,5.07,5.8,308.398,38.02689
0.003719,305.3301671063535,39.6063879155500,0.001,0.001,0,2061443431459819648,305.33014771621,0.0213,39.60636405111,0.0259,0.5412,0.0258,-3.470,0.044,-5.543,0.049,0,8.61375e+05,4.32229e+02,10.850385,2.66236e+05,4.53397e+02,11.788221,8.80759e+05,9.22311e+02,9.899777,1.888444,,,0,4285.14,0.6380,0.3425,23.26,164.306,305.3301667,39.6063889,Surroundings,J20211924+3936230,B1Ib,19979,4.23,4.6,305.33017,39.60639
0.145368,306.3636774129088,40.4000339140996,0.001,0.001,0,2067498064030714368,306.36365977999,0.0193,40.40001210838,0.0228,0.5215,0.0265,-3.119,0.041,-5.065,0.042,1,3.27119e+06,1.97280e+03,9.401602,1.10656e+06,2.85624e+03,10.241454,3.14503e+06,6.71706e+03,8.517859,1.723596,,,0,4066.18,0.7365,0.3602,55.58,760.930,306.363625,40.4000278,Surroundings,BD+394179,B1Ib,19979,4.7,4.2,306.36362,40.40003
0.027160,309.5537021828392,40.9546884353102,0.001,0.001,0,2064814224863172480,309.55369318372,0.0225,40.95467776529,0.0291,0.6466,0.0306,-1.579,0.048,-2.478,0.049,0,6.14052e+05,4.34588e+03,11.217854,2.00545e+05,3.90320e+03,12.095861,6.26604e+05,1.45143e+04,10.269437,1.826424,,,0,3914.00,1.0370,0.4902,22.01,102.413,309.5537083,40.9546944,Surroundings,J20381289+4057169,B2V,20549,3.98,4.2,309.55371,40.95469
0.010278,308.5641286323312,43.1598045370119,0.001,0.001,90,2069714438951097600,308.56414409812,0.0198,43.15979119975,0.0221,1.1904,0.0248,2.620,0.041,-3.098,0.040,0,2.36679e+06,5.92499e+02,9.752967,1.42863e+06,1.84649e+03,9.964088,1.36528e+06,1.77900e+03,9.423864,0.540224,,,0,6943.42,1.4225,0.7200,5.56,64.772,308.564125,43.1598056,Surroundings,BD+423785a,B9V,10700,2.9,0.6,308.56412,43.15981
